no,업력,지역,업종,멘토링,세무,신용등급,이행보증,연계지원,자금,절차간소화
395,1년미만,경기,전기,4,4,5,4,5,5,5
396,3년미만,부산,기계,4,3,3,5,5,5,5
397,3년미만,서울,잡화,1,1,5,5,5,5,5
398,3년미만,경기,기계,5,5,5,5,5,5,5
399,3년미만,서울,기계,4,3,5,5,5,5,5
400,1년미만,서울,전기,5,3,3,4,5,5,5
401,7년미만,광주,잡화,5,5,5,5,5,5,5
402,1년미만,경기,정보,4,4,5,5,5,5,4
403,5년미만,경기,전기,3,2,5,4,5,5,5
404,1년미만,경기,전기,3,4,5,5,4,5,5
405,3년미만,경남,화공,4,4,4,4,4,4,3
406,3년미만,대구,화공,4,4,4,4,4,5,5
407,5년미만,경북,화공,5,3,3,4,3,4,4
408,1년미만,인천,화공,3,3,4,3,4,4,4
409,3년미만,서울,기타,2,2,1,1,1,1,1
410,1년미만,경기,전자,4,4,5,5,5,5,5
411,1년미만,서울,섬유,4,4,5,5,5,5,5
412,3년미만,인천,금속,5,5,5,5,5,5,5
413,7년미만,서울,섬유,5,4,5,5,5,5,5
414,1년미만,광주,유통,4,3,3,2,3,3,4
415,3년미만,경기,기계,4,5,4,4,4,5,5
416,3년미만,충남,식료,4,4,4,4,4,4,4
417,3년미만,전북,식료,4,3,3,5,4,5,5
418,3년미만,서울,잡화,5,5,5,5,5,5,5
419,3년미만,경기,전자,4,4,5,5,5,5,5
420,1년미만,전남,유통,3,2,4,2,2,4,3
421,5년미만,경기,기계,3,3,4,3,3,3,3
422,1년미만,경기,화공,5,5,5,5,5,5,5
423,3년미만,경기,화공,2,3,5,4,4,5,4
424,1년미만,경기,전기,3,4,5,4,3,4,4
425,3년미만,울산,정보,4,4,5,5,4,5,5
426,1년미만,서울,유통,4,3,4,4,4,5,5
427,1년미만,경기,식료,1,3,5,5,5,5,5
428,5년미만,경기,전자,3,3,5,5,5,5,5
429,3년미만,경기,기계,5,3,3,4,5,5,5
430,3년미만,경기,기계,4,4,4,4,4,4,4
431,1년미만,경기,식료,4,3,3,3,3,3,3
432,1년미만,경기,전기,4,4,4,4,4,4,4
433,1년미만,전북,기타,5,5,5,5,5,5,5
434,5년미만,인천,금속,2,3,3,3,3,4,4
435,5년미만,대전,금속,3,3,3,3,4,4,4
436,1년미만,충남,전기,4,3,5,2,4,5,5
437,1년미만,부산,잡화,5,5,5,5,5,5,5
438,3년미만,경기,기타,5,5,5,5,5,5,5
439,1년미만,대구,기타,5,4,4,4,5,5,4
440,5년미만,서울,전자,3,3,4,4,3,4,3
441,1년미만,울산,정보,4,5,5,5,4,3,3
442,3년미만,경북,화공,4,3,5,5,5,5,5
443,5년미만,경기,금속,5,5,2,4,5,5,5
444,1년미만,전북,기계,4,4,4,4,4,4,4
445,1년미만,경기,유통,3,3,3,3,3,3,3
446,3년미만,부산,기타,4,4,4,4,5,5,4
447,5년미만,서울,기계,4,4,4,4,4,4,4
448,3년미만,경기,전기,4,4,5,5,4,5,5
449,1년미만,경기,기계,3,3,5,5,5,5,5
450,3년미만,충남,금속,3,4,5,2,5,5,5
451,3년미만,서울,기타,5,4,5,5,4,5,4
452,3년미만,서울,유통,4,4,5,5,5,5,5
453,5년미만,경기,정보,4,2,3,4,5,5,4
454,1년미만,경기,화공,5,5,5,5,5,5,5
455,1년미만,충북,정보,4,4,4,4,4,4,4
456,3년미만,울산,기계,4,4,4,4,4,4,4
457,1년미만,서울,정보,4,3,4,5,5,5,5
458,1년미만,서울,정보,5,3,5,5,4,5,3
459,3년미만,서울,정보,5,5,5,5,5,5,5
460,7년미만,전남,식료,5,5,5,5,5,5,4
461,1년미만,부산,화공,4,3,4,3,4,4,4
462,1년미만,경기,기계,4,4,4,5,4,5,4
463,1년미만,경기,전기,4,4,5,5,5,5,5
464,1년미만,경남,전기,3,3,5,3,5,5,3
465,7년미만,서울,기타,4,4,5,3,3,5,5
466,1년미만,인천,기타,4,3,5,5,5,5,5
467,1년미만,서울,잡화,4,3,4,4,4,5,4
468,1년미만,경남,금속,4,5,5,5,3,5,5
469,5년미만,서울,유통,4,4,4,4,4,5,4
470,1년미만,인천,기계,5,5,5,5,5,5,5
471,3년미만,제주,유통,4,4,4,5,5,5,5
472,1년미만,경남,정보,5,5,5,5,5,5,5
473,1년미만,인천,유통,4,4,4,4,4,4,4
474,1년미만,서울,유통,4,4,4,3,5,5,5
475,3년미만,대구,기계,5,4,5,,4,5,5
476,3년미만,서울,기타,4,5,4,4,4,5,5
477,5년미만,대구,잡화,3,3,4,4,4,4,4
478,1년미만,부산,전기,2,3,3,4,5,5,5
479,1년미만,경기,전자,3,3,4,5,4,4,4
480,1년미만,충남,식료,5,5,5,5,5,5,5
481,1년미만,경기,기계,3,3,3,3,3,3,3
482,1년미만,전남,전자,1,1,1,5,5,5,5
483,1년미만,충북,잡화,4,4,3,4,4,4,4
484,5년미만,전북,전기,5,5,5,4,5,5,5
485,1년미만,경기,잡화,1,3,3,4,4,4,3
486,7년미만,서울,유통,3,3,4,5,5,5,4
487,3년미만,경기,기타,4,5,4,4,4,5,5
488,1년미만,충북,화공,5,4,4,4,4,5,5
